Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type
三千,さんぜん,Noun,3,三千,-
四千,よんせん,Noun,3,四千,-
五千,ごせん,Noun,2,五千,-
六千,ろくせん,Noun,3,六千,-
七千,ななせん,Noun,3,七千,-
八千,はっせん,Noun,3,八千,-
九千,きゅうせん,Noun,3,九千,-
一年,いちねん,Noun,2,一年,-
二年,にねん,Noun,1,二年,-
三年,さんねん,Noun,0,三年,-
四年,よねん,Noun,0,四年,-
五年,ごねん,Noun,0,五年,-
六年,ろくねん,Noun,2,六年,-
七年,しちねん,Noun,2,七年,-
八年,はちねん,Noun,2,八年,-
九年,きゅうねん,Noun,1,九年,-
十年,じゅうねん,Noun,1,十年,-
一月,いちがつ,Noun,4,一月,-
二月,にがつ,Noun,3,二月,-
三月,さんがつ,Noun,1,三月,-
四月,しがつ,Noun,3,四月,-
五月,ごがつ,Noun,1,五月,-
六月,ろくがつ,Noun,4,六月,-
七月,しちがつ,Noun,4,七月,-
八月,はちがつ,Noun,4,八月,-
九月,くがつ,Noun,1,九月,-
十月,じゅうがつ,Noun,4,十月,-
十一月,じゅういちがつ,Noun,6,十一月,-
十二月,じゅうにがつ,Noun,5,十二月,-
一ヶ月,いっかげつ,Noun,3,一個月,-
二ヶ月,にかげつ,Noun,2,兩個月,-
三ヶ月,さんかげつ,Noun,3,三個月,-
四ヶ月,よんかげつ,Noun,3,四個月,-
五ヶ月,ごかげつ,Noun,2,五個月,-
六ヶ月,ろっかげつ,Noun,3,六個月,-
七ヶ月,ななかげつ,Noun,3,七個月,-
八ヶ月,はっかげつ,Noun,3,八個月,-
九ヶ月,きゅうかげつ,Noun,3,九個月,-
十ヶ月,じゅっかげつ,Noun,3,十個月,-
十一ヶ月,じゅういっかげつ,Noun,5,十一個月,-
十二ヶ月,じゅうにかげつ,Noun,4,十二個月,-
一日（日曆上的 1 號）,ついたち,Noun,4,一日（日曆上的 1 號）,-
二日（日曆上的 2 號）,ふつか,Noun,0,二日（日曆上的 2 號）,-
三日（日曆上的 3 號）,みっか,Noun,0,三日（日曆上的 3 號）,-
四日（日曆上的 4 號）,よっか,Noun,0,四日（日曆上的 4 號）,-
五日（日曆上的 5 號）,いつか,Noun,3,五日（日曆上的 5 號）,-
六日（日曆上的 6 號）,むいか,Noun,0,六日（日曆上的 6 號）,-
七日（日曆上的 7 號）,なのか,Noun,0,七日（日曆上的 7 號）,-
八日（日曆上的 8 號）,ようか,Noun,0,八日（日曆上的 8 號）,-
九日（日曆上的 9 號）,ここのか,Noun,4,九日（日曆上的 9 號）,-
十日（日曆上的 10 號）,とおか,Noun,0,十日（日曆上的 10 號）,-
十四日（日曆上的 14 號）,じゅうよっか,Noun,3,十四日（日曆上的 14 號）,-
二十日（日曆上的 20 號）,はつか,Noun,0,二十日（日曆上的 20 號）,-
二十九日（日曆上的 29,にじゅうくにち,Noun,1,二十九日（日曆上的 29 號）,-
日曜日,にちようび,Noun,3,星期日,-
月曜日,げつようび,Noun,3,星期一,-
火曜日,かようび,Noun,2,星期二,-
水曜日,すいようび,Noun,3,星期三,-
木曜日,もくようび,Noun,3,星期四,-
金曜日,きんようび,Noun,3,星期五,-
土曜日,どようび,Noun,2,星期六,-
一時,いちじ,Noun,2,一點,-
二時,にじ,Noun,1,兩點,-
三時,さんじ,Noun,1,三點,-
四時,よじ,Noun,1,四點,-
五時,ごじ,Noun,1,五點,-
六時,ろくじ,Noun,2,六點,-
七時,しちじ,Noun,2,七點,-
八時,はちじ,Noun,2,八點,-
九時,くじ,Noun,1,九點,-
十時,じゅうじ,Noun,1,十點,-
一分,いっぷん,Noun,1,一分,-
二分,にふん,Noun,1,兩分,-
三分,さんぷん,Noun,1,三分,-
四分,よんぷん,Noun,1,四分,-
五分,ごふん,Noun,1,五分,-
六分,ろっぷん,Noun,1,六分,-
七分,ななふん,Noun,1,七分,-
八分,はっぷん,Noun,1,八分,-
九分,きゅうふん,Noun,1,九分,-
十分,じゅっぷん,Noun,1,十分,-
一秒,いちびょう,Noun,2,一秒,-
二秒,にびょう,Noun,1,二秒,-
三秒,さんびょう,Noun,1,三秒,-
四秒,よんびょう,Noun,1,四秒,-
五秒,ごびょう,Noun,1,五秒,-
六秒,ろくびょう,Noun,2,六秒,-
七秒,ななびょう,Noun,2,七秒,-
八秒,はちびょう,Noun,2,八秒,-
九秒,きゅうびょう,Noun,1,九秒,-
十秒,じゅうびょう,Noun,1,十秒,-
零時,れいじ,Noun,1,零時整點(午夜 12 點),-
家族,かぞく,Noun,1,家族、家人,-
両親,りょうしん,Noun,1,父母,-
祖父,そふ,Noun,1,爺爺、阿公、外公,-
祖母,そぼ,Noun,1,奶奶、阿嬤、外婆,-
父,ちち,Noun,2,爸爸,-
母,はは,Noun,1,媽媽,-
叔父,おじ,Noun,0,叔叔、伯父,-
叔母,おば,Noun,0,阿姨、伯母,-
夫,おっと,Noun,0,丈夫、外子,-
妻,つま,Noun,1,妻子、內人,-
兄弟,きょうだい,Noun,1,兄弟姐妹,-
兄,あに,Noun,1,哥哥,-
姉,あね,Noun,0,姐姐,-
弟,おとうと,Noun,4,弟弟,-
妹,いもうと,Noun,4,妹妹,-
息子,むすこ,Noun,0,兒子,-
娘,むすめ,Noun,3,女兒,-
孫,まご,Noun,2,孫子,-
従兄弟,いとこ,Noun,2,表兄弟姐妹,-
ご家族,ごかぞく,Noun,2,家族、家人,-
ご両親,ごりょうしん,Noun,2,父母,-
お爺さん,おじいさん,Noun,2,令祖父,-
お婆さん,おばあさん,Noun,2,令祖母,-
お父さん,おとうさん,Noun,2,令尊,-
お母さん,おかあさん,Noun,2,令堂,-
叔父さん,おじさん,Noun,0,叔父/伯父/叔叔,-
叔母さん,おばさん,Noun,0,叔母/伯母/阿姨,-
ご主人,ごしゅじん,Noun,2,先生/令夫君,-
奥さん,おくさん,Noun,1,太太/尊夫人,-
